alias_name,alias_sample_id,statement_index,time,location,activity,source_file
Colonel Mustard,0,0,19:00 PM,Living Room,Tampering with drinks,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,1,19:10 PM,Dining Room,Swapping drinks unnoticed,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,2,19:20 PM,Living Room,Tampering with drinks,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,3,19:30 PM,Bathroom,Looking in drawers,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,4,19:40 PM,Living Room,Tampering with drinks,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,5,19:50 PM,Dining Room,Rinsing a glass carefully,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,6,20:00 PM,Study,Peeling an orange,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,7,20:10 PM,Dining Room,Rinsing a glass carefully,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,8,20:20 PM,Living Room,Swapping drinks unnoticed,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,9,20:30 PM,Dining Room,Inspecting wine bottles,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,10,20:40 PM,Living Room,Tampering with drinks,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,11,20:50 PM,Bathroom,Polishing household items,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,12,21:00 PM,Living Room,Retrieving items from storage,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,13,21:10 PM,Living Room,Tying decorative knots,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,14,21:20 PM,Dining Room,Rinsing a glass carefully,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,15,21:30 PM,Living Room,Tampering with drinks,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,16,21:40 PM,Dining Room,Swapping drinks unnoticed,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,17,21:50 PM,Dining Room,Taking her dog for a walk,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,18,22:00 PM,Living Room,Bragging about their Birkin,alias_statement_colonel_mustard_0.json
Colonel Mustard,0,19,22:10 PM,Dining Room,Tampering with drinks,alias_statement_colonel_mustard_0.json
Colonel Mustard,1,0,19:00 PM,Living Room,Rinsing a glass carefully,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,1,19:10 PM,Study,Reading warning labels,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,2,19:20 PM,Dining Room,Reorganizing books and materials,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,3,19:30 PM,Dining Room,Reading a novel quietly,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,4,19:40 PM,Living Room,Serving drinks and chatting with guests,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,5,19:50 PM,Living Room,Inspecting wine bottles,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,6,20:00 PM,Living Room,Swapping drinks unnoticed,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,7,20:10 PM,Dining Room,Tampering with drinks,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,8,20:20 PM,Living Room,Swapping drinks unnoticed,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,9,20:30 PM,Living Room,Inspecting wine bottles,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,10,20:40 PM,Dining Room,Inspecting wine bottles,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,11,20:50 PM,Living Room,Swapping drinks unnoticed,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,12,21:00 PM,Living Room,Serving drinks and chatting with guests,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,13,21:10 PM,Dining Room,Opening letters,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,14,21:20 PM,Living Room,Inspecting wine bottles,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,15,21:30 PM,Bathroom,Swapping drinks unnoticed,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,16,21:40 PM,Living Room,Opening a safe,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,17,21:50 PM,Bathroom,Serving drinks and chatting with guests,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,18,22:00 PM,Living Room,Serving drinks and chatting with guests,alias_statement_colonel_mustard_1.json
Colonel Mustard,1,19,22:10 PM,Dining Room,Serving drinks and chatting with guests,alias_statement_colonel_mustard_1.json
Colonel Mustard,10,0,19:00 PM,Living Room,Swapping drinks unnoticed,alias_statement_colonel_mustard_10.json
Colonel Mustard,10,1,19:10 PM,Bathroom,Swapping drinks unnoticed,alias_statement_colonel_mustard_10.json
Colonel Mustard,10,2,19:20 PM,Bathroom,Peeling an orange,alias_statement_colonel_mustard_10.json
Colonel Mustard,10,3,19:30 PM,Living Room,Rinsing a glass carefully,alias_statement_colonel_mustard_10.json
Colonel Mustard,10,4,19:40 PM,Living Room,Rinsing a glass carefully,alias_statement_colonel_mustard_10.json
Colonel Mustard,10,5,19:50 PM,Dining Room,Rinsing a glass carefully,alias_statement_colonel_mustard_10.json
Colonel Mustard,10,6,20:00 PM,Dining Room,Rinsing a glass carefully,alias_statement_colonel_mustard_10.json
Colonel Mustard,10,7,20:10 PM,Study,Reorganizing books and materials,alias_statement_colonel_mustard_10.json
Colonel Mustard,10,8,20:20 PM,Dining Room,Tampering with drinks,alias_statement_colonel_mustard_10.json
Colonel Mustard,10,9,20:30 PM,Living Room,Rinsing a glass carefully,alias_statement_colonel_mustard_10.json
Colonel Mustard,10,10,20:40 PM,Dining Room,Inspecting wine bottles,alias_statement_colonel_mustard_10.json
Colonel Mustard,10,11,20:50 PM,Dining Room,Rinsing a glass carefully,alias_statement_colonel_mustard_10.json
Colonel Mustard,10,12,21:00 PM,Dining Room,Inspecting wine bottles,alias_statement_colonel_mustard_10.json
