entry_id,job_id,canister_id,entry_time,balloon_type,quantity,status
R01-E1,R01,R-C01,20:05,small,2,filled
R01-E2,R01,R-C01,20:18,small,2,filled
R01-E3,R01,R-C01,20:35,large,3,filled
R01-E4,R01,R-C01,20:36,large,3,void
R01-E5,R01,R-C01,20:42,small,2,unused_return
R02-E1,R02,R-C02,20:05,small,6,filled
R02-E2,R02,R-C02,20:18,small,6,filled
R02-E3,R02,R-C02,20:35,large,2,filled
R02-E4,R02,R-C02,20:36,large,3,void
R02-E5,R02,R-C02,20:42,small,2,unused_return
R03-E1,R03,R-C03,20:05,small,7,filled
R03-E2,R03,R-C03,20:18,small,7,filled
R03-E3,R03,R-C03,20:35,large,3,filled
R03-E4,R03,R-C03,20:36,large,3,void
R03-E5,R03,R-C03,20:42,small,2,unused_return
R04-E1,R04,R-C04,20:05,small,8,filled
R04-E2,R04,R-C04,20:18,small,8,filled
R04-E3,R04,R-C04,20:35,large,3,filled
R04-E4,R04,R-C04,20:36,large,3,void
R04-E5,R04,R-C04,20:42,small,2,unused_return
R05-E1,R05,R-C05,20:05,small,9,filled
R05-E2,R05,R-C05,20:18,small,9,filled
R05-E3,R05,R-C05,20:35,large,3,filled
R05-E4,R05,R-C05,20:36,large,3,void
R05-E5,R05,R-C05,20:42,small,2,unused_return
R06-E1,R06,R-C06,20:05,small,10,filled
R06-E2,R06,R-C06,20:18,small,10,filled
R06-E3,R06,R-C06,20:35,large,3,filled
R06-E4,R06,R-C06,20:36,large,3,void
R06-E5,R06,R-C06,20:42,small,2,unused_return
R07-E1,R07,R-C07,20:05,small,11,filled
R07-E2,R07,R-C07,20:18,small,11,filled
R07-E3,R07,R-C07,20:35,large,3,filled
R07-E4,R07,R-C07,20:36,large,3,void
R07-E5,R07,R-C07,20:42,small,2,unused_return
R08-E1,R08,R-C08,20:05,small,12,filled
R08-E2,R08,R-C08,20:18,small,12,filled
R08-E3,R08,R-C08,20:35,large,3,filled
R08-E4,R08,R-C08,20:36,large,3,void
R08-E5,R08,R-C08,20:42,small,2,unused_return
R09-E1,R09,R-C09,20:05,small,16,filled
R09-E2,R09,R-C09,20:18,small,16,filled
R09-E3,R09,R-C09,20:35,large,2,filled
R09-E4,R09,R-C09,20:36,large,3,void
R09-E5,R09,R-C09,20:42,small,2,unused_return
R10-E1,R10,R-C10,20:05,small,17,filled
R10-E2,R10,R-C10,20:18,small,18,filled
R10-E3,R10,R-C10,20:35,large,2,filled
R10-E4,R10,R-C10,20:36,large,3,void
R10-E5,R10,R-C10,20:42,small,2,unused_return
R11-E1,R11,R-C11,20:05,small,19,filled
R11-E2,R11,R-C11,20:18,small,19,filled
R11-E3,R11,R-C11,20:35,large,2,filled
R11-E4,R11,R-C11,20:36,large,3,void
R11-E5,R11,R-C11,20:42,small,2,unused_return
R12-E1,R12,R-C12,20:05,small,19,filled
R12-E2,R12,R-C12,20:18,small,20,filled
R12-E3,R12,R-C12,20:35,large,3,filled
R12-E4,R12,R-C12,20:36,large,3,void
R12-E5,R12,R-C12,20:42,small,2,unused_return
