alias_sample_id,19:00 PM,19:10 PM,19:20 PM,19:30 PM,19:40 PM,19:50 PM,20:00 PM,20:10 PM,20:20 PM,20:30 PM,20:40 PM,20:50 PM,21:00 PM,21:10 PM,21:20 PM,21:30 PM,21:40 PM,21:50 PM,22:00 PM,22:10 PM
0,"(Living Room, Tampering with drinks)","(Dining Room, Swapping drinks unnoticed)","(Living Room, Tampering with drinks)","(Bathroom, Looking in drawers)","(Living Room, Tampering with drinks)","(Dining Room, Rinsing a glass carefully)","(Study, Peeling an orange)","(Dining Room, Rinsing a glass carefully)","(Living Room, Swapping drinks unnoticed)","(Dining Room, Inspecting wine bottles)","(Living Room, Tampering with drinks)","(Bathroom, Polishing household items)","(Living Room, Retrieving items from storage)","(Living Room, Tying decorative knots)","(Dining Room, Rinsing a glass carefully)","(Living Room, Tampering with drinks)","(Dining Room, Swapping drinks unnoticed)","(Dining Room, Taking her dog for a walk)","(Living Room, Bragging about their Birkin)","(Dining Room, Tampering with drinks)"
1,"(Living Room, Rinsing a glass carefully)","(Study, Reading warning labels)","(Dining Room, Reorganizing books and materials)","(Dining Room, Reading a novel quietly)","(Living Room, Serving drinks and chatting with guests)","(Living Room, Inspecting wine bottles)","(Living Room, Swapping drinks unnoticed)","(Dining Room, Tampering with drinks)","(Living Room, Swapping drinks unnoticed)","(Living Room, Inspecting wine bottles)","(Dining Room, Inspecting wine bottles)","(Living Room, Swapping drinks unnoticed)","(Living Room, Serving drinks and chatting with guests)","(Dining Room, Opening letters)","(Living Room, Inspecting wine bottles)","(Bathroom, Swapping drinks unnoticed)","(Living Room, Opening a safe)","(Bathroom, Serving drinks and chatting with guests)","(Living Room, Serving drinks and chatting with guests)","(Dining Room, Serving drinks and chatting with guests)"
2,"(Living Room, Swapping drinks unnoticed)","(Living Room, Complaining about TSA going through their purse)","(Study, Serving drinks and chatting with guests)","(Study, Reading warning labels)","(Dining Room, Inspecting wine bottles)","(Dining Room, Rinsing a glass carefully)","(Kitchen, Swapping drinks unnoticed)","(Dining Room, Rinsing a glass carefully)","(Dining Room, Rinsing a glass carefully)","(Dining Room, Raising a painting)","(Kitchen, Tampering with drinks)","(Dining Room, Tampering with drinks)","(Living Room, Peeling an orange)","(Living Room, Talking about skeet shooting)","(Living Room, Inspecting wine bottles)","(Dining Room, Polishing household items)","(Dining Room, Serving drinks and chatting with guests)","(Dining Room, Tampering with drinks)","(Dining Room, Inspecting wine bottles)","(Dining Room, Bragging about their Birkin)"
3,"(Living Room, Swapping drinks unnoticed)","(Living Room, Speaking in a high-pitched voice)","(Study, Serving drinks and chatting with guests)","(Living Room, Inspecting wine bottles)","(Dining Room, Bringing in the shopping)","(Living Room, Swapping drinks unnoticed)","(Study, Serving drinks and chatting with guests)","(Living Room, Tampering with drinks)","(Bathroom, Taking her dog for a walk)","(Bathroom, Rinsing a glass carefully)","(Living Room, Swapping drinks unnoticed)","(Dining Room, Rinsing a glass carefully)","(Kitchen, Rinsing a glass carefully)","(Dining Room, Swapping drinks unnoticed)","(Kitchen, Inspecting wine bottles)","(Dining Room, Swapping drinks unnoticed)","(Study, Tampering with drinks)","(Living Room, Tampering with drinks)","(Dining Room, Serving drinks and chatting with guests)","(Dining Room, Taking her dog for a walk)"
4,"(Dining Room, Taking her dog for a walk)","(Kitchen, Chatting with guests)","(Pantry, Serving drinks and chatting with guests)","(Kitchen, Swapping drinks unnoticed)","(Dining Room, Inspecting wine bottles)","(Kitchen, Swapping drinks unnoticed)","(Dining Room, Inspecting a family heirloom)","(Dining Room, Serving drinks and chatting with guests)","(Living Room, Serving drinks and chatting with guests)","(Living Room, Washing up after handling items)","(Dining Room, Inspecting wine bottles)","(Living Room, Swapping drinks unnoticed)","(Dining Room, Inspecting wine bottles)","(Dining Room, Inspecting wine bottles)","(Kitchen, Inspecting wine bottles)","(Dining Room, Inspecting wine bottles)","(Living Room, Serving drinks and chatting with guests)","(Living Room, Reading warning labels)","(Living Room, Retrieving items from storage)","(Study, Inspecting wine bottles)"
5,"(Dining Room, Serving drinks and chatting with guests)","(Living Room, Tampering with drinks)","(Living Room, Swapping drinks unnoticed)","(Dining Room, Swapping drinks unnoticed)","(Dining Room, Inspecting wine bottles)","(Living Room, Serving drinks and chatting with guests)","(Living Room, Serving drinks and chatting with guests)","(Study, Swapping drinks unnoticed)","(Living Room, Speaking in a high-pitched voice)","(Dining Room, Tampering with drinks)","(Dining Room, Swapping drinks unnoticed)","(Study, Swapping drinks unnoticed)","(Dining Room, Inspecting wine bottles)","(Living Room, Swapping drinks unnoticed)","(Bathroom, Inspecting wine bottles)","(Living Room, Serving drinks and chatting with guests)","(Dining Room, Inspecting wine bottles)","(Living Room, Tampering with drinks)","(Living Room, Bragging about their Birkin)","(Dining Room, Tampering with drinks)"
6,"(Living Room, Rinsing a glass carefully)","(Study, Chatting with guests)","(Living Room, Tampering with drinks)","(Study, Rinsing a glass carefully)","(Dining Room, Bragging about their Birkin)","(Living Room, Rinsing a glass carefully)","(Bathroom, Serving drinks and chatting with guests)","(Living Room, Reading a novel quietly)","(Study, Tampering with drinks)","(Dining Room, Inspecting wine bottles)","(Dining Room, Swapping drinks unnoticed)","(Kitchen, Bragging about their Birkin)","(Dining Room, Swapping drinks unnoticed)","(Living Room, Polishing household items)","(Bathroom, Tampering with drinks)","(Living Room, Tampering with drinks)","(Living Room, Swapping drinks unnoticed)","(Living Room, Swapping drinks unnoticed)","(Dining Room, Swapping drinks unnoticed)","(Dining Room, Tampering with drinks)"
7,"(Dining Room, Inspecting wine bottles)","(Living Room, Returning to mingle with guests)","(Bathroom, Swapping drinks unnoticed)","(Living Room, Inspecting wine bottles)","(Living Room, Swapping drinks unnoticed)","(Dining Room, Rinsing a glass carefully)","(Living Room, Serving drinks and chatting with guests)","(Study, Retrieving items from storage)","(Study, Reading warning labels)","(Dining Room, Swapping drinks unnoticed)","(Dining Room, Chatting with guests)","(Study, Serving drinks and chatting with guests)","(Dining Room, Swapping drinks unnoticed)","(Dining Room, Returning to mingle with guests)","(Study, Tampering with drinks)","(Living Room, Whittling a stick)","(Living Room, Inspecting wine bottles)","(Bathroom, Tampering with drinks)","(Living Room, Tampering with drinks)","(Living Room, Swapping drinks unnoticed)"
8,"(Dining Room, Returning to mingle with guests)","(Living Room, Swapping drinks unnoticed)","(Bathroom, Inspecting wine bottles)","(Living Room, Rinsing a glass carefully)","(Dining Room, Serving drinks and chatting with guests)","(Study, Serving drinks and chatting with guests)","(Dining Room, Serving drinks and chatting with guests)","(Dining Room, Inspecting wine bottles)","(Dining Room, Tampering with drinks)","(Kitchen, Swapping drinks unnoticed)","(Dining Room, Inspecting wine bottles)","(Kitchen, Swapping drinks unnoticed)","(Pantry, Tampering with drinks)","(Kitchen, Rinsing a glass carefully)","(Pantry, Whittling a stick)","(Kitchen, Inspecting wine bottles)","(Pantry, Tampering with drinks)","(Kitchen, Tampering with drinks)","(Dining Room, Inspecting wine bottles)","(Living Room, Looking in drawers)"
9,"(Living Room, Tampering with drinks)","(Living Room, Tampering with drinks)","(Dining Room, Swapping drinks unnoticed)","(Study, Serving drinks and chatting with guests)","(Study, Rinsing a glass carefully)","(Study, Tampering with drinks)","(Living Room, Tampering with drinks)","(Dining Room, Swapping drinks unnoticed)","(Living Room, Swapping drinks unnoticed)","(Dining Room, Swapping drinks unnoticed)","(Dining Room, Tampering with drinks)","(Living Room, Tampering with drinks)","(Dining Room, Tampering with drinks)","(Kitchen, Rinsing a glass carefully)","(Dining Room, Tampering with drinks)","(Study, Rinsing a glass carefully)","(Dining Room, Serving drinks and chatting with guests)","(Living Room, Serving drinks and chatting with guests)","(Living Room, Tampering with drinks)","(Living Room, Opening letters)"
