alias_sample_id,19:00 PM,19:10 PM,19:20 PM,19:30 PM,19:40 PM,19:50 PM,20:00 PM,20:10 PM,20:20 PM,20:30 PM,20:40 PM,20:50 PM,21:00 PM,21:10 PM,21:20 PM,21:30 PM,21:40 PM,21:50 PM,22:00 PM,22:10 PM
0,"(Kitchen, Chatting with guests)","(Dining Room, Retrieving items from storage)","(Kitchen, Chatting with guests)","(Kitchen, Chatting with guests)","(Kitchen, Swapping drinks unnoticed)","(Kitchen, Raising a painting)","(Kitchen, Complaining about TSA going through their purse)","(Dining Room, Swapping drinks unnoticed)","(Kitchen, Reading a novel quietly)","(Dining Room, Inspecting wine bottles)","(Dining Room, Retrieving items from storage)","(Kitchen, Bringing in the shopping)","(Dining Room, Bragging about their Birkin)","(Kitchen, Bragging about their Birkin)","(Dining Room, Serving drinks and chatting with guests)","(Dining Room, Bringing in the shopping)","(Kitchen, Bringing in the shopping)","(Pantry, Bringing in the shopping)","(Kitchen, Bringing in the shopping)","(Dining Room, Complaining about TSA going through their purse)"
1,"(Dining Room, Complaining about TSA going through their purse)","(Kitchen, Reading a novel quietly)","(Dining Room, Retrieving items from storage)","(Kitchen, Opening letters)","(Pantry, Bragging about their Birkin)","(Kitchen, Chatting with guests)","(Pantry, Chatting with guests)","(Kitchen, Bragging about their Birkin)","(Kitchen, Retrieving items from storage)","(Kitchen, Bringing in the shopping)","(Dining Room, Reorganizing books and materials)","(Dining Room, Bragging about their Birkin)","(Dining Room, Complaining about TSA going through their purse)","(Dining Room, Retrieving items from storage)","(Dining Room, Bragging about their Birkin)","(Living Room, Opening a safe)","(Living Room, Bragging about their Birkin)","(Bathroom, Retrieving items from storage)","(Living Room, Bragging about their Birkin)","(Study, Bringing in the shopping)"
2,"(Kitchen, Complaining about TSA going through their purse)","(Dining Room, Complaining about TSA going through their purse)","(Kitchen, Retrieving items from storage)","(Dining Room, Retrieving items from storage)","(Kitchen, Chatting with guests)","(Dining Room, Retrieving items from storage)","(Dining Room, Bringing in the shopping)","(Study, Complaining about TSA going through their purse)","(Living Room, Chatting with guests)","(Living Room, Chatting with guests)","(Dining Room, Inspecting wine bottles)","(Kitchen, Serving drinks and chatting with guests)","(Dining Room, Retrieving items from storage)","(Dining Room, Opening letters)","(Dining Room, Bringing in the shopping)","(Dining Room, Bragging about their Birkin)","(Living Room, Tampering with drinks)","(Living Room, Retrieving items from storage)","(Study, Chatting with guests)","(Living Room, Rinsing a glass carefully)"
3,"(Kitchen, Retrieving items from storage)","(Dining Room, Peeling an orange)","(Dining Room, Retrieving items from storage)","(Dining Room, Raising a painting)","(Dining Room, Retrieving items from storage)","(Kitchen, Bringing in the shopping)","(Pantry, Bringing in the shopping)","(Kitchen, Inflating balloons)","(Dining Room, Whittling a stick)","(Kitchen, Complaining about TSA going through their purse)","(Dining Room, Retrieving items from storage)","(Kitchen, Bringing in the shopping)","(Pantry, Chatting with guests)","(Kitchen, Bragging about their Birkin)","(Dining Room, Reading a novel quietly)","(Dining Room, Complaining about TSA going through their purse)","(Dining Room, Taking her dog for a walk)","(Kitchen, Reading warning labels)","(Pantry, Bragging about their Birkin)","(Pantry, Inspecting wine bottles)"
4,"(Kitchen, Chatting with guests)","(Dining Room, Complaining about TSA going through their purse)","(Dining Room, Chatting with guests)","(Dining Room, Retrieving items from storage)","(Kitchen, Chatting with guests)","(Kitchen, Peeling an orange)","(Dining Room, Reorganizing books and materials)","(Kitchen, Retrieving items from storage)","(Pantry, Chatting with guests)","(Kitchen, Bringing in the shopping)","(Dining Room, Complaining about TSA going through their purse)","(Kitchen, Retrieving items from storage)","(Pantry, Bragging about their Birkin)","(Kitchen, Complaining about TSA going through their purse)","(Dining Room, Raising a painting)","(Dining Room, Opening letters)","(Kitchen, Chatting with guests)","(Dining Room, Retrieving items from storage)","(Kitchen, Looking in drawers)","(Kitchen, Chatting with guests)"
5,"(Dining Room, Complaining about TSA going through their purse)","(Kitchen, Complaining about TSA going through their purse)","(Dining Room, Whittling a stick)","(Kitchen, Polishing household items)","(Dining Room, Retrieving items from storage)","(Dining Room, Bragging about their Birkin)","(Living Room, Bragging about their Birkin)","(Bathroom, Bringing in the shopping)","(Living Room, Complaining about TSA going through their purse)","(Dining Room, Ripping wippets)","(Dining Room, Opening letters)","(Dining Room, Looking in drawers)","(Kitchen, Retrieving items from storage)","(Kitchen, Retrieving items from storage)","(Pantry, Bragging about their Birkin)","(Kitchen, Retrieving items from storage)","(Kitchen, Bringing in the shopping)","(Kitchen, Chatting with guests)","(Dining Room, Returning to mingle with guests)","(Dining Room, Retrieving items from storage)"
6,"(Kitchen, Bringing in the shopping)","(Dining Room, Reading warning labels)","(Kitchen, Complaining about TSA going through their purse)","(Kitchen, Complaining about TSA going through their purse)","(Pantry, Bragging about their Birkin)","(Kitchen, Complaining about TSA going through their purse)","(Dining Room, Tampering with drinks)","(Kitchen, Speaking in a high-pitched voice)","(Kitchen, Peeling an orange)","(Dining Room, Chatting with guests)","(Kitchen, Retrieving items from storage)","(Kitchen, Bringing in the shopping)","(Dining Room, Chatting with guests)","(Dining Room, Speaking in a high-pitched voice)","(Kitchen, Returning to mingle with guests)","(Kitchen, Bragging about their Birkin)","(Dining Room, Bringing in the shopping)","(Dining Room, Bringing in the shopping)","(Study, Chatting with guests)","(Dining Room, Peeling an orange)"
7,"(Kitchen, Inspecting a family heirloom)","(Pantry, Complaining about TSA going through their purse)","(Kitchen, Bringing in the shopping)","(Kitchen, Bragging about their Birkin)","(Dining Room, Chatting with guests)","(Kitchen, Chatting with guests)","(Kitchen, Complaining about TSA going through their purse)","(Dining Room, Tying decorative knots)","(Living Room, Bringing in the shopping)","(Bathroom, Chatting with guests)","(Living Room, Complaining about TSA going through their purse)","(Bathroom, Bragging about their Birkin)","(Bathroom, Bragging about their Birkin)","(Living Room, Chatting with guests)","(Dining Room, Complaining about TSA going through their purse)","(Living Room, Bragging about their Birkin)","(Bathroom, Complaining about TSA going through their purse)","(Living Room, Complaining about TSA going through their purse)","(Dining Room, Opening letters)","(Kitchen, Bragging about their Birkin)"
8,"(Dining Room, Complaining about TSA going through their purse)","(Kitchen, Retrieving items from storage)","(Kitchen, Chatting with guests)","(Dining Room, Complaining about TSA going through their purse)","(Living Room, Bragging about their Birkin)","(Dining Room, Taking her dog for a walk)","(Kitchen, Opening letters)","(Dining Room, Bragging about their Birkin)","(Dining Room, Inflating balloons)","(Dining Room, Swapping drinks unnoticed)","(Dining Room, Bragging about their Birkin)","(Study, Chatting with guests)","(Dining Room, Complaining about TSA going through their purse)","(Dining Room, Bragging about their Birkin)","(Kitchen, Bragging about their Birkin)","(Dining Room, Retrieving items from storage)","(Dining Room, Retrieving items from storage)","(Dining Room, Retrieving items from storage)","(Dining Room, Retrieving items from storage)","(Kitchen, Looking in drawers)"
9,"(Dining Room, Chatting with guests)","(Kitchen, Bragging about their Birkin)","(Pantry, Chatting with guests)","(Pantry, Ripping wippets)","(Kitchen, Bringing in the shopping)","(Dining Room, Retrieving items from storage)","(Dining Room, Bragging about their Birkin)","(Kitchen, Bragging about their Birkin)","(Dining Room, Bragging about their Birkin)","(Living Room, Chatting with guests)","(Study, Complaining about TSA going through their purse)","(Dining Room, Chatting with guests)","(Kitchen, Retrieving items from storage)","(Dining Room, Chatting with guests)","(Dining Room, Complaining about TSA going through their purse)","(Kitchen, Bragging about their Birkin)","(Kitchen, Chatting with guests)","(Dining Room, Retrieving items from storage)","(Kitchen, Retrieving items from storage)","(Kitchen, Bragging about their Birkin)"
