alias_sample_id,19:00 PM,19:10 PM,19:20 PM,19:30 PM,19:40 PM,19:50 PM,20:00 PM,20:10 PM,20:20 PM,20:30 PM,20:40 PM,20:50 PM,21:00 PM,21:10 PM,21:20 PM,21:30 PM,21:40 PM,21:50 PM,22:00 PM,22:10 PM
0,"(Living Room, Washing up after handling items)","(Living Room, Inflating balloons)","(Living Room, Talking about skeet shooting)","(Dining Room, Inspecting a family heirloom)","(Kitchen, Reading a novel quietly)","(Kitchen, Polishing household items)","(Kitchen, Washing up after handling items)","(Pantry, Washing up after handling items)","(Kitchen, Inspecting a family heirloom)","(Kitchen, Taking her dog for a walk)","(Dining Room, Polishing household items)","(Dining Room, Opening a safe)","(Kitchen, Talking about skeet shooting)","(Pantry, Opening a safe)","(Kitchen, Inspecting a family heirloom)","(Kitchen, Talking about skeet shooting)","(Pantry, Talking about skeet shooting)","(Kitchen, Opening a safe)","(Dining Room, Complaining about TSA going through their purse)","(Living Room, Bringing in the shopping)"
1,"(Living Room, Reorganizing books and materials)","(Living Room, Talking about skeet shooting)","(Living Room, Polishing household items)","(Living Room, Washing up after handling items)","(Living Room, Talking about skeet shooting)","(Living Room, Washing up after handling items)","(Living Room, Polishing household items)","(Living Room, Reading a novel quietly)","(Bathroom, Opening a safe)","(Living Room, Returning to mingle with guests)","(Dining Room, Ripping wippets)","(Living Room, Tampering with drinks)","(Dining Room, Inspecting a family heirloom)","(Living Room, Talking about skeet shooting)","(Living Room, Polishing household items)","(Dining Room, Inspecting a family heirloom)","(Dining Room, Opening a safe)","(Kitchen, Washing up after handling items)","(Pantry, Opening letters)","(Kitchen, Opening a safe)"
2,"(Kitchen, Inspecting wine bottles)","(Kitchen, Polishing household items)","(Dining Room, Polishing household items)","(Study, Inspecting a family heirloom)","(Dining Room, Opening a safe)","(Kitchen, Opening a safe)","(Kitchen, Inspecting a family heirloom)","(Dining Room, Inspecting a family heirloom)","(Dining Room, Whittling a stick)","(Study, Speaking in a high-pitched voice)","(Dining Room, Polishing household items)","(Living Room, Inspecting a family heirloom)","(Living Room, Reading a novel quietly)","(Living Room, Polishing household items)","(Living Room, Talking about skeet shooting)","(Living Room, Polishing household items)","(Living Room, Washing up after handling items)","(Bathroom, Opening a safe)","(Living Room, Opening a safe)","(Dining Room, Looking in drawers)"
3,"(Living Room, Looking in drawers)","(Living Room, Opening a safe)","(Dining Room, Opening a safe)","(Study, Reading warning labels)","(Living Room, Opening a safe)","(Living Room, Inspecting a family heirloom)","(Living Room, Polishing household items)","(Living Room, Swapping drinks unnoticed)","(Living Room, Talking about skeet shooting)","(Living Room, Inspecting a family heirloom)","(Dining Room, Ripping wippets)","(Dining Room, Opening a safe)","(Kitchen, Washing up after handling items)","(Pantry, Bragging about their Birkin)","(Kitchen, Washing up after handling items)","(Dining Room, Washing up after handling items)","(Living Room, Inspecting a family heirloom)","(Living Room, Complaining about TSA going through their purse)","(Living Room, Polishing household items)","(Living Room, Polishing household items)"
4,"(Living Room, Reading warning labels)","(Study, Looking in drawers)","(Living Room, Opening a safe)","(Bathroom, Talking about skeet shooting)","(Living Room, Polishing household items)","(Living Room, Polishing household items)","(Living Room, Polishing household items)","(Living Room, Tying decorative knots)","(Dining Room, Opening a safe)","(Kitchen, Talking about skeet shooting)","(Pantry, Inspecting a family heirloom)","(Kitchen, Washing up after handling items)","(Pantry, Ripping wippets)","(Kitchen, Inspecting a family heirloom)","(Pantry, Polishing household items)","(Kitchen, Taking her dog for a walk)","(Kitchen, Swapping drinks unnoticed)","(Pantry, Washing up after handling items)","(Kitchen, Talking about skeet shooting)","(Pantry, Polishing household items)"
5,"(Kitchen, Talking about skeet shooting)","(Kitchen, Washing up after handling items)","(Dining Room, Talking about skeet shooting)","(Dining Room, Talking about skeet shooting)","(Kitchen, Returning to mingle with guests)","(Pantry, Talking about skeet shooting)","(Kitchen, Opening a safe)","(Dining Room, Opening a safe)","(Living Room, Opening a safe)","(Living Room, Reorganizing books and materials)","(Living Room, Polishing household items)","(Living Room, Opening a safe)","(Bathroom, Complaining about TSA going through their purse)","(Living Room, Bringing in the shopping)","(Study, Inspecting wine bottles)","(Dining Room, Bringing in the shopping)","(Study, Inspecting a family heirloom)","(Living Room, Opening a safe)","(Living Room, Washing up after handling items)","(Dining Room, Talking about skeet shooting)"
6,"(Living Room, Talking about skeet shooting)","(Living Room, Complaining about TSA going through their purse)","(Dining Room, Talking about skeet shooting)","(Living Room, Washing up after handling items)","(Living Room, Taking her dog for a walk)","(Living Room, Polishing household items)","(Study, Polishing household items)","(Living Room, Taking her dog for a walk)","(Bathroom, Polishing household items)","(Living Room, Polishing household items)","(Living Room, Inspecting a family heirloom)","(Study, Taking her dog for a walk)","(Living Room, Inflating balloons)","(Living Room, Opening a safe)","(Living Room, Opening a safe)","(Dining Room, Inflating balloons)","(Kitchen, Polishing household items)","(Kitchen, Opening a safe)","(Pantry, Ripping wippets)","(Pantry, Inspecting a family heirloom)"
7,"(Living Room, Inspecting a family heirloom)","(Living Room, Opening a safe)","(Study, Washing up after handling items)","(Dining Room, Washing up after handling items)","(Living Room, Washing up after handling items)","(Living Room, Opening a safe)","(Bathroom, Washing up after handling items)","(Living Room, Polishing household items)","(Living Room, Washing up after handling items)","(Dining Room, Chatting with guests)","(Study, Observing guests from afar)","(Living Room, Opening a safe)","(Living Room, Returning to mingle with guests)","(Bathroom, Chatting with guests)","(Living Room, Inspecting a family heirloom)","(Bathroom, Serving drinks and chatting with guests)","(Living Room, Bragging about their Birkin)","(Living Room, Opening a safe)","(Living Room, Talking about skeet shooting)","(Study, Talking about skeet shooting)"
8,"(Kitchen, Talking about skeet shooting)","(Pantry, Inspecting a family heirloom)","(Kitchen, Peeling an orange)","(Pantry, Talking about skeet shooting)","(Kitchen, Opening a safe)","(Pantry, Washing up after handling items)","(Kitchen, Rinsing a glass carefully)","(Pantry, Peeling an orange)","(Kitchen, Talking about skeet shooting)","(Pantry, Reading a novel quietly)","(Kitchen, Talking about skeet shooting)","(Dining Room, Ripping wippets)","(Kitchen, Inspecting a family heirloom)","(Kitchen, Opening a safe)","(Dining Room, Polishing household items)","(Kitchen, Washing up after handling items)","(Kitchen, Inspecting wine bottles)","(Dining Room, Opening a safe)","(Kitchen, Serving drinks and chatting with guests)","(Pantry, Opening a safe)"
9,"(Kitchen, Taking her dog for a walk)","(Dining Room, Polishing household items)","(Dining Room, Inspecting wine bottles)","(Kitchen, Washing up after handling items)","(Kitchen, Observing guests from afar)","(Pantry, Washing up after handling items)","(Kitchen, Washing up after handling items)","(Kitchen, Opening a safe)","(Kitchen, Washing up after handling items)","(Pantry, Washing up after handling items)","(Kitchen, Inspecting a family heirloom)","(Dining Room, Inspecting a family heirloom)","(Kitchen, Talking about skeet shooting)","(Kitchen, Opening a safe)","(Kitchen, Polishing household items)","(Dining Room, Opening a safe)","(Kitchen, Polishing household items)","(Pantry, Talking about skeet shooting)","(Kitchen, Inspecting a family heirloom)","(Pantry, Opening a safe)"
