job_id,canister_id,phase,measurement_time,mass_g
R01,R-C01,before,19:55,500.00000000
R01,R-C01,after,20:45,494.52347419
R02,R-C02,before,19:55,510.00000000
R02,R-C02,after,20:45,503.09191175
R03,R-C03,before,19:55,520.00000000
R03,R-C03,after,20:45,511.49635558
R04,R-C04,before,19:55,530.00000000
R04,R-C04,after,20:45,520.56535990
R05,R-C05,before,19:55,540.00000000
R05,R-C05,after,20:45,530.41373848
R06,R-C06,before,19:55,550.00000000
R06,R-C06,after,20:45,538.30663670
R07,R-C07,before,19:55,560.00000000
R07,R-C07,after,20:45,548.15950459
R08,R-C08,before,19:55,570.00000000
R08,R-C08,after,20:45,557.58647875
R09,R-C09,before,19:55,580.00000000
R09,R-C09,after,20:45,563.59669107
R10,R-C10,before,19:55,590.00000000
R10,R-C10,after,20:45,571.08988185
R11,R-C11,before,19:55,600.00000000
R11,R-C11,after,20:45,579.66951034
R12,R-C12,before,19:55,610.00000000
R12,R-C12,after,20:45,586.29905353
