job_id,canister_id,phase,measurement_time,mass_g
H01,H-C01,before,19:55,500.00000000
H01,H-C01,after,20:45,496.88591968
H02,H-C02,before,19:55,510.00000000
H02,H-C02,after,20:45,505.97197135
H03,H-C03,before,19:55,520.00000000
H03,H-C03,after,20:45,515.50532805
H04,H-C04,before,19:55,530.00000000
H04,H-C04,after,20:45,523.73394056
H05,H-C05,before,19:55,540.00000000
H05,H-C05,after,20:45,535.46309790
H06,H-C06,before,19:55,550.00000000
H06,H-C06,after,20:45,542.22667664
H07,H-C07,before,19:55,560.00000000
H07,H-C07,after,20:45,547.11667507
H08,H-C08,before,19:55,570.00000000
H08,H-C08,after,20:45,553.11967978
H09,H-C09,before,19:55,580.00000000
H09,H-C09,after,20:45,561.12378331
H10,H-C10,before,19:55,590.00000000
H10,H-C10,after,20:45,568.53729013
H11,H-C11,before,19:55,600.00000000
H11,H-C11,after,20:45,577.07903586
H12,H-C12,before,19:55,610.00000000
H12,H-C12,after,20:45,585.71163573
