entry_id,job_id,canister_id,entry_time,balloon_type,quantity,status
H01-E1,H01,H-C01,20:05,small,2,filled
H01-E2,H01,H-C01,20:18,small,3,filled
H01-E3,H01,H-C01,20:35,large,2,filled
H01-E4,H01,H-C01,20:36,large,3,void
H01-E5,H01,H-C01,20:42,small,2,unused_return
H02-E1,H02,H-C02,20:05,small,3,filled
H02-E2,H02,H-C02,20:18,small,4,filled
H02-E3,H02,H-C02,20:35,large,2,filled
H02-E4,H02,H-C02,20:36,large,3,void
H02-E5,H02,H-C02,20:42,small,2,unused_return
H03-E1,H03,H-C03,20:05,small,4,filled
H03-E2,H03,H-C03,20:18,small,5,filled
H03-E3,H03,H-C03,20:35,large,2,filled
H03-E4,H03,H-C03,20:36,large,3,void
H03-E5,H03,H-C03,20:42,small,2,unused_return
H04-E1,H04,H-C04,20:05,small,5,filled
H04-E2,H04,H-C04,20:18,small,6,filled
H04-E3,H04,H-C04,20:35,large,2,filled
H04-E4,H04,H-C04,20:36,large,3,void
H04-E5,H04,H-C04,20:42,small,2,unused_return
H05-E1,H05,H-C05,20:05,small,6,filled
H05-E2,H05,H-C05,20:18,small,7,filled
H05-E3,H05,H-C05,20:35,large,2,filled
H05-E4,H05,H-C05,20:36,large,3,void
H05-E5,H05,H-C05,20:42,small,2,unused_return
H06-E1,H06,H-C06,20:05,small,7,filled
H06-E2,H06,H-C06,20:18,small,8,filled
H06-E3,H06,H-C06,20:35,large,2,filled
H06-E4,H06,H-C06,20:36,large,3,void
H06-E5,H06,H-C06,20:42,small,2,unused_return
H07-E1,H07,H-C07,20:05,small,14,filled
H07-E2,H07,H-C07,20:18,small,14,filled
H07-E3,H07,H-C07,20:35,large,2,filled
H07-E4,H07,H-C07,20:36,large,3,void
H07-E5,H07,H-C07,20:42,small,2,unused_return
H08-E1,H08,H-C08,20:05,small,15,filled
H08-E2,H08,H-C08,20:18,small,16,filled
H08-E3,H08,H-C08,20:35,large,2,filled
H08-E4,H08,H-C08,20:36,large,3,void
H08-E5,H08,H-C08,20:42,small,2,unused_return
H09-E1,H09,H-C09,20:05,small,17,filled
H09-E2,H09,H-C09,20:18,small,17,filled
H09-E3,H09,H-C09,20:35,large,2,filled
H09-E4,H09,H-C09,20:36,large,3,void
H09-E5,H09,H-C09,20:42,small,2,unused_return
H10-E1,H10,H-C10,20:05,small,18,filled
H10-E2,H10,H-C10,20:18,small,19,filled
H10-E3,H10,H-C10,20:35,large,2,filled
H10-E4,H10,H-C10,20:36,large,3,void
H10-E5,H10,H-C10,20:42,small,2,unused_return
H11-E1,H11,H-C11,20:05,small,20,filled
H11-E2,H11,H-C11,20:18,small,20,filled
H11-E3,H11,H-C11,20:35,large,2,filled
H11-E4,H11,H-C11,20:36,large,3,void
H11-E5,H11,H-C11,20:42,small,2,unused_return
H12-E1,H12,H-C12,20:05,small,21,filled
H12-E2,H12,H-C12,20:18,small,22,filled
H12-E3,H12,H-C12,20:35,large,2,filled
H12-E4,H12,H-C12,20:36,large,3,void
H12-E5,H12,H-C12,20:42,small,2,unused_return
