statement_id,details_matched,details_repeated,corroborated
H001,5,5,0
H002,5,5,1
H003,7,7,1
H004,0,2,0
H005,3,9,1
H006,10,10,1
H007,0,5,0
H008,9,4,1
H009,3,5,0
H010,5,1,0
H011,1,1,0
H012,3,7,1
H013,0,10,0
H014,5,8,1
H015,3,8,0
H016,6,9,1
H017,5,0,0
H018,4,3,1
H019,6,8,1
H020,9,10,1
H021,5,2,0
H022,5,5,1
H023,7,5,1
H024,1,7,0
H025,3,10,1
H026,4,3,0
H027,3,4,1
H028,2,9,1
H029,3,9,1
H030,5,7,1
H031,3,8,1
H032,1,5,0
H033,3,7,0
H034,6,5,1
H035,5,7,1
H036,7,8,1
H037,0,1,0
H038,8,2,0
H039,5,3,0
H040,0,3,0
H041,6,3,1
H042,3,10,1
H043,7,5,1
H044,6,8,1
H045,1,5,0
H046,4,10,0
H047,8,7,1
H048,2,4,0
H049,8,8,1
H050,3,1,0
H051,3,9,0
H052,10,6,1
H053,1,2,0
H054,8,4,1
H055,9,5,1
H056,3,8,1
H057,3,3,0
H058,4,4,1
H059,4,0,0
H060,3,8,1
H061,8,9,1
H062,2,9,1
H063,1,7,0
H064,2,7,0
H065,8,1,0
H066,4,5,1
H067,7,0,0
H068,6,2,1
H069,6,3,1
H070,7,4,1
H071,5,4,1
H072,4,4,1
H073,10,1,1
H074,6,5,1
H075,8,9,1
H076,7,9,1
H077,5,5,0
H078,0,4,0
H079,2,9,0
H080,1,4,0
H081,1,3,0
H082,8,5,1
H083,9,8,1
H084,4,3,0
H085,10,0,0
H086,8,3,0
H087,0,10,0
H088,7,0,1
H089,6,0,1
H090,2,10,1
H091,2,1,0
H092,1,9,0
H093,7,8,1
H094,9,9,1
H095,0,5,0
H096,3,2,0
H097,9,3,1
H098,4,3,0
H099,10,4,1
H100,5,8,1
H101,6,8,1
H102,4,10,1
H103,1,10,0
H104,3,8,0
H105,4,0,0
H106,9,1,0
H107,10,8,1
H108,9,8,1
H109,4,8,1
H110,10,6,1
H111,4,2,0
H112,7,4,1
H113,3,4,0
H114,2,4,0
H115,5,7,1
H116,6,7,0
H117,10,1,1
H118,6,8,0
H119,4,9,1
H120,1,0,0
