statement_id,details_matched,details_repeated,corroborated
M001,7,0,1
M002,3,5,0
M003,4,0,0
M004,3,6,1
M005,3,9,0
M006,10,9,1
M007,1,8,0
M008,4,7,1
M009,6,2,0
M010,6,4,0
M011,2,6,0
M012,6,5,1
M013,8,0,0
M014,7,2,1
M015,0,1,0
M016,5,5,1
M017,6,6,0
M018,1,4,0
M019,3,3,0
M020,3,5,0
M021,1,0,0
M022,3,9,0
M023,1,0,0
M024,10,8,1
M025,3,2,0
M026,0,10,0
M027,7,5,0
M028,2,9,0
M029,8,3,1
M030,6,7,1
M031,6,4,0
M032,10,2,1
M033,0,9,0
M034,2,6,0
M035,3,6,1
M036,6,5,0
M037,2,9,0
M038,9,2,1
M039,4,7,0
M040,4,7,1
M041,4,2,0
M042,1,2,0
M043,10,8,1
M044,6,4,0
M045,3,7,1
M046,8,4,0
M047,1,5,0
M048,0,1,0
M049,5,7,1
M050,7,9,1
M051,3,3,0
M052,1,4,0
M053,2,9,0
M054,2,4,0
M055,4,9,0
M056,8,9,1
M057,8,6,1
M058,6,2,0
M059,5,5,1
M060,9,3,1
