alias_sample_id,19:00 PM,19:10 PM,19:20 PM,19:30 PM,19:40 PM,19:50 PM,20:00 PM,20:10 PM,20:20 PM,20:30 PM,20:40 PM,20:50 PM,21:00 PM,21:10 PM,21:20 PM,21:30 PM,21:40 PM,21:50 PM,22:00 PM,22:10 PM
0,"(Living Room, Observing guests from afar)","(Living Room, Reorganizing books and materials)","(Bathroom, Taking her dog for a walk)","(Bathroom, Tying decorative knots)","(Bathroom, Reorganizing books and materials)","(Living Room, Raising a painting)","(Dining Room, Tying decorative knots)","(Kitchen, Observing guests from afar)","(Dining Room, Reorganizing books and materials)","(Living Room, Opening letters)","(Living Room, Taking her dog for a walk)","(Study, Retrieving items from storage)","(Living Room, Serving drinks and chatting with guests)","(Living Room, Complaining about TSA going through their purse)","(Study, Observing guests from afar)","(Study, Taking her dog for a walk)","(Study, Reorganizing books and materials)","(Study, Raising a painting)","(Living Room, Opening letters)","(Living Room, Observing guests from afar)"
1,"(Study, Inspecting a family heirloom)","(Living Room, Serving drinks and chatting with guests)","(Study, Reading warning labels)","(Study, Observing guests from afar)","(Living Room, Reading warning labels)","(Bathroom, Reorganizing books and materials)","(Living Room, Tying decorative knots)","(Study, Taking her dog for a walk)","(Study, Polishing household items)","(Study, Raising a painting)","(Study, Raising a painting)","(Study, Taking her dog for a walk)","(Dining Room, Returning to mingle with guests)","(Kitchen, Observing guests from afar)","(Dining Room, Reorganizing books and materials)","(Living Room, Observing guests from afar)","(Living Room, Retrieving items from storage)","(Living Room, Raising a painting)","(Study, Tying decorative knots)","(Dining Room, Ripping wippets)"
2,"(Living Room, Observing guests from afar)","(Study, Taking her dog for a walk)","(Study, Returning to mingle with guests)","(Dining Room, Taking her dog for a walk)","(Dining Room, Swapping drinks unnoticed)","(Dining Room, Observing guests from afar)","(Living Room, Bringing in the shopping)","(Living Room, Raising a painting)","(Study, Opening letters)","(Study, Reorganizing books and materials)","(Study, Raising a painting)","(Dining Room, Reorganizing books and materials)","(Dining Room, Reorganizing books and materials)","(Study, Reorganizing books and materials)","(Living Room, Retrieving items from storage)","(Study, Swapping drinks unnoticed)","(Living Room, Reorganizing books and materials)","(Bathroom, Observing guests from afar)","(Bathroom, Taking her dog for a walk)","(Living Room, Retrieving items from storage)"
3,"(Study, Taking her dog for a walk)","(Dining Room, Bringing in the shopping)","(Dining Room, Raising a painting)","(Living Room, Observing guests from afar)","(Study, Observing guests from afar)","(Study, Reorganizing books and materials)","(Study, Reorganizing books and materials)","(Dining Room, Observing guests from afar)","(Living Room, Peeling an orange)","(Dining Room, Taking her dog for a walk)","(Study, Chatting with guests)","(Living Room, Observing guests from afar)","(Study, Tying decorative knots)","(Dining Room, Whittling a stick)","(Living Room, Raising a painting)","(Living Room, Observing guests from afar)","(Living Room, Raising a painting)","(Study, Taking her dog for a walk)","(Study, Tying decorative knots)","(Living Room, Opening a safe)"
4,"(Study, Raising a painting)","(Study, Observing guests from afar)","(Study, Taking her dog for a walk)","(Living Room, Reorganizing books and materials)","(Study, Tying decorative knots)","(Study, Reorganizing books and materials)","(Study, Taking her dog for a walk)","(Study, Observing guests from afar)","(Living Room, Tying decorative knots)","(Living Room, Taking her dog for a walk)","(Dining Room, Tying decorative knots)","(Study, Raising a painting)","(Dining Room, Taking her dog for a walk)","(Dining Room, Inspecting wine bottles)","(Living Room, Reorganizing books and materials)","(Living Room, Reorganizing books and materials)","(Living Room, Reorganizing books and materials)","(Bathroom, Returning to mingle with guests)","(Living Room, Observing guests from afar)","(Living Room, Serving drinks and chatting with guests)"
5,"(Living Room, Observing guests from afar)","(Bathroom, Reorganizing books and materials)","(Living Room, Taking her dog for a walk)","(Living Room, Inspecting a family heirloom)","(Dining Room, Bragging about their Birkin)","(Dining Room, Reorganizing books and materials)","(Kitchen, Whittling a stick)","(Pantry, Raising a painting)","(Kitchen, Tying decorative knots)","(Pantry, Rinsing a glass carefully)","(Kitchen, Raising a painting)","(Pantry, Taking her dog for a walk)","(Pantry, Observing guests from afar)","(Pantry, Taking her dog for a walk)","(Kitchen, Reorganizing books and materials)","(Pantry, Tying decorative knots)","(Pantry, Raising a painting)","(Kitchen, Reorganizing books and materials)","(Dining Room, Tying decorative knots)","(Study, Raising a painting)"
6,"(Study, Raising a painting)","(Living Room, Reorganizing books and materials)","(Study, Reorganizing books and materials)","(Study, Tampering with drinks)","(Living Room, Opening a safe)","(Bathroom, Tying decorative knots)","(Living Room, Raising a painting)","(Living Room, Reorganizing books and materials)","(Living Room, Observing guests from afar)","(Study, Observing guests from afar)","(Study, Raising a painting)","(Study, Bringing in the shopping)","(Study, Observing guests from afar)","(Dining Room, Tying decorative knots)","(Living Room, Chatting with guests)","(Dining Room, Bringing in the shopping)","(Living Room, Tampering with drinks)","(Living Room, Inspecting a family heirloom)","(Bathroom, Tying decorative knots)","(Living Room, Tying decorative knots)"
7,"(Study, Tying decorative knots)","(Study, Reorganizing books and materials)","(Living Room, Tying decorative knots)","(Living Room, Taking her dog for a walk)","(Living Room, Taking her dog for a walk)","(Dining Room, Observing guests from afar)","(Dining Room, Peeling an orange)","(Kitchen, Serving drinks and chatting with guests)","(Pantry, Taking her dog for a walk)","(Kitchen, Observing guests from afar)","(Dining Room, Taking her dog for a walk)","(Kitchen, Reorganizing books and materials)","(Pantry, Tying decorative knots)","(Kitchen, Reading warning labels)","(Dining Room, Observing guests from afar)","(Living Room, Reading a novel quietly)","(Living Room, Reorganizing books and materials)","(Living Room, Tying decorative knots)","(Living Room, Observing guests from afar)","(Bathroom, Reorganizing books and materials)"
8,"(Study, Returning to mingle with guests)","(Living Room, Raising a painting)","(Bathroom, Observing guests from afar)","(Living Room, Reorganizing books and materials)","(Study, Raising a painting)","(Study, Inflating balloons)","(Study, Reorganizing books and materials)","(Living Room, Opening letters)","(Study, Observing guests from afar)","(Study, Observing guests from afar)","(Living Room, Raising a painting)","(Study, Tying decorative knots)","(Dining Room, Bringing in the shopping)","(Study, Reorganizing books and materials)","(Study, Rinsing a glass carefully)","(Study, Complaining about TSA going through their purse)","(Living Room, Talking about skeet shooting)","(Living Room, Tying decorative knots)","(Study, Reorganizing books and materials)","(Living Room, Taking her dog for a walk)"
9,"(Study, Raising a painting)","(Living Room, Taking her dog for a walk)","(Dining Room, Polishing household items)","(Living Room, Tying decorative knots)","(Living Room, Swapping drinks unnoticed)","(Study, Taking her dog for a walk)","(Study, Observing guests from afar)","(Study, Taking her dog for a walk)","(Dining Room, Raising a painting)","(Living Room, Observing guests from afar)","(Study, Taking her dog for a walk)","(Study, Whittling a stick)","(Study, Raising a painting)","(Living Room, Inflating balloons)","(Study, Opening letters)","(Living Room, Taking her dog for a walk)","(Living Room, Raising a painting)","(Study, Reorganizing books and materials)","(Living Room, Reorganizing books and materials)","(Living Room, Reorganizing books and materials)"
