alias_sample_id,19:00 PM,19:10 PM,19:20 PM,19:30 PM,19:40 PM,19:50 PM,20:00 PM,20:10 PM,20:20 PM,20:30 PM,20:40 PM,20:50 PM,21:00 PM,21:10 PM,21:20 PM,21:30 PM,21:40 PM,21:50 PM,22:00 PM,22:10 PM
0,"(Study, Opening letters)","(Living Room, Returning to mingle with guests)","(Study, Tampering with drinks)","(Dining Room, Returning to mingle with guests)","(Dining Room, Whittling a stick)","(Study, Returning to mingle with guests)","(Study, Peeling an orange)","(Study, Peeling an orange)","(Study, Whittling a stick)","(Study, Returning to mingle with guests)","(Study, Looking in drawers)","(Study, Opening letters)","(Study, Reading a novel quietly)","(Study, Returning to mingle with guests)","(Study, Peeling an orange)","(Study, Complaining about TSA going through their purse)","(Study, Returning to mingle with guests)","(Dining Room, Peeling an orange)","(Study, Peeling an orange)","(Living Room, Whittling a stick)"
1,"(Study, Opening letters)","(Dining Room, Whittling a stick)","(Dining Room, Opening letters)","(Kitchen, Whittling a stick)","(Pantry, Opening letters)","(Kitchen, Observing guests from afar)","(Pantry, Whittling a stick)","(Kitchen, Returning to mingle with guests)","(Pantry, Whittling a stick)","(Kitchen, Talking about skeet shooting)","(Pantry, Peeling an orange)","(Kitchen, Inflating balloons)","(Kitchen, Peeling an orange)","(Pantry, Retrieving items from storage)","(Pantry, Observing guests from afar)","(Kitchen, Whittling a stick)","(Dining Room, Whittling a stick)","(Kitchen, Reading a novel quietly)","(Pantry, Whittling a stick)","(Kitchen, Talking about skeet shooting)"
2,"(Study, Returning to mingle with guests)","(Living Room, Reading a novel quietly)","(Dining Room, Returning to mingle with guests)","(Study, Peeling an orange)","(Study, Tying decorative knots)","(Study, Returning to mingle with guests)","(Study, Inspecting wine bottles)","(Dining Room, Peeling an orange)","(Study, Retrieving items from storage)","(Dining Room, Whittling a stick)","(Dining Room, Opening letters)","(Kitchen, Returning to mingle with guests)","(Dining Room, Whittling a stick)","(Living Room, Whittling a stick)","(Bathroom, Whittling a stick)","(Living Room, Rinsing a glass carefully)","(Bathroom, Opening letters)","(Bathroom, Tampering with drinks)","(Bathroom, Swapping drinks unnoticed)","(Living Room, Peeling an orange)"
3,"(Bathroom, Peeling an orange)","(Living Room, Whittling a stick)","(Living Room, Returning to mingle with guests)","(Bathroom, Inflating balloons)","(Bathroom, Returning to mingle with guests)","(Living Room, Peeling an orange)","(Bathroom, Taking her dog for a walk)","(Bathroom, Reading a novel quietly)","(Bathroom, Whittling a stick)","(Bathroom, Peeling an orange)","(Bathroom, Opening letters)","(Bathroom, Returning to mingle with guests)","(Living Room, Returning to mingle with guests)","(Bathroom, Returning to mingle with guests)","(Living Room, Opening letters)","(Bathroom, Returning to mingle with guests)","(Living Room, Tying decorative knots)","(Bathroom, Opening letters)","(Living Room, Reading a novel quietly)","(Study, Peeling an orange)"
4,"(Bathroom, Opening letters)","(Living Room, Reading a novel quietly)","(Bathroom, Tying decorative knots)","(Living Room, Taking her dog for a walk)","(Bathroom, Whittling a stick)","(Bathroom, Peeling an orange)","(Living Room, Peeling an orange)","(Study, Whittling a stick)","(Study, Returning to mingle with guests)","(Study, Opening letters)","(Study, Peeling an orange)","(Living Room, Opening letters)","(Bathroom, Returning to mingle with guests)","(Living Room, Whittling a stick)","(Study, Returning to mingle with guests)","(Dining Room, Inflating balloons)","(Study, Peeling an orange)","(Study, Peeling an orange)","(Study, Reading a novel quietly)","(Study, Reading a novel quietly)"
5,"(Bathroom, Opening letters)","(Living Room, Returning to mingle with guests)","(Bathroom, Returning to mingle with guests)","(Living Room, Whittling a stick)","(Living Room, Reading a novel quietly)","(Bathroom, Peeling an orange)","(Bathroom, Opening letters)","(Bathroom, Reading a novel quietly)","(Living Room, Opening letters)","(Living Room, Whittling a stick)","(Study, Whittling a stick)","(Study, Whittling a stick)","(Dining Room, Opening letters)","(Dining Room, Opening letters)","(Study, Whittling a stick)","(Study, Returning to mingle with guests)","(Study, Peeling an orange)","(Living Room, Whittling a stick)","(Study, Whittling a stick)","(Study, Peeling an orange)"
6,"(Study, Inspecting wine bottles)","(Study, Reading a novel quietly)","(Dining Room, Peeling an orange)","(Study, Opening letters)","(Study, Tying decorative knots)","(Study, Washing up after handling items)","(Living Room, Peeling an orange)","(Study, Serving drinks and chatting with guests)","(Study, Bragging about their Birkin)","(Living Room, Peeling an orange)","(Study, Whittling a stick)","(Study, Reading a novel quietly)","(Living Room, Opening letters)","(Bathroom, Peeling an orange)","(Bathroom, Peeling an orange)","(Living Room, Peeling an orange)","(Study, Opening letters)","(Study, Reading a novel quietly)","(Study, Talking about skeet shooting)","(Study, Ripping wippets)"
7,"(Study, Opening letters)","(Study, Reading a novel quietly)","(Dining Room, Tying decorative knots)","(Study, Polishing household items)","(Study, Opening letters)","(Study, Returning to mingle with guests)","(Study, Serving drinks and chatting with guests)","(Dining Room, Peeling an orange)","(Study, Reorganizing books and materials)","(Study, Peeling an orange)","(Living Room, Reading a novel quietly)","(Dining Room, Retrieving items from storage)","(Dining Room, Opening letters)","(Study, Serving drinks and chatting with guests)","(Living Room, Opening letters)","(Bathroom, Reading a novel quietly)","(Living Room, Returning to mingle with guests)","(Dining Room, Opening letters)","(Study, Raising a painting)","(Dining Room, Whittling a stick)"
8,"(Bathroom, Tying decorative knots)","(Living Room, Speaking in a high-pitched voice)","(Dining Room, Taking her dog for a walk)","(Study, Whittling a stick)","(Dining Room, Reading a novel quietly)","(Living Room, Returning to mingle with guests)","(Study, Opening letters)","(Study, Whittling a stick)","(Living Room, Reading a novel quietly)","(Study, Reading a novel quietly)","(Living Room, Whittling a stick)","(Bathroom, Whittling a stick)","(Bathroom, Peeling an orange)","(Living Room, Opening letters)","(Study, Opening letters)","(Study, Peeling an orange)","(Living Room, Reading a novel quietly)","(Bathroom, Returning to mingle with guests)","(Bathroom, Whittling a stick)","(Bathroom, Returning to mingle with guests)"
9,"(Study, Reading a novel quietly)","(Study, Reading a novel quietly)","(Study, Rinsing a glass carefully)","(Study, Reading a novel quietly)","(Study, Observing guests from afar)","(Study, Returning to mingle with guests)","(Study, Whittling a stick)","(Dining Room, Tampering with drinks)","(Study, Inspecting a family heirloom)","(Study, Serving drinks and chatting with guests)","(Dining Room, Inspecting wine bottles)","(Study, Tampering with drinks)","(Study, Peeling an orange)","(Dining Room, Peeling an orange)","(Study, Peeling an orange)","(Dining Room, Returning to mingle with guests)","(Dining Room, Returning to mingle with guests)","(Dining Room, Whittling a stick)","(Kitchen, Returning to mingle with guests)","(Dining Room, Opening a safe)"
